case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
D042,disagreement,Bunduq2023,phase5,GRI 3,3-3,Occupational health and safety,e.iii,0,pass,standard,"Progress (zero LTIs, reduced incident rates) and KPI achievements are quantified and contextualized.","[""Bunduq2023__c_0068"", ""Bunduq2023__c_0064"", ""Bunduq2023__c_0069"", ""Bunduq2023__c_0070"", ""Bunduq2023__c_0065""]",pass,standard,"States zero LTIs for 6+ years and declining key indicators (fatalities, MTCs) as evidence of effectiveness.","[""Bunduq2023__c_0068""]",pass,standard,Zero LTIs (chunk_0068) and WATCH observation metrics (chunk_0068) demonstrate progress.,"[""Bunduq2023__c_0068""]",pass,standard,"Zero LTIs, 3,190 WATCH observations, and incident investigation improvements are reported.","[""Bunduq2023__c_0068"", ""Bunduq2023__c_0064"", ""Bunduq2023__c_0062""]",all_agree
D043,disagreement,Desfa2023,phase5,GRI 3,3-3,Privacy,e.iii,0,no_evidence,standard,No explicit evaluation of Privacy action effectiveness or progress toward goals is provided.,"[""Desfa2023__c_0220""]",pass,standard,Reports zero data leaks and no substantiated privacy complaints as evidence of effectiveness.,"[""Desfa2023__c_0220""]",no_evidence,standard,No evaluation of privacy action effectiveness or progress toward goals is provided.,"[""Desfa2023__c_0207"", ""Desfa2023__c_0220""]",pass,standard,Zero data leaks and no substantiated privacy complaints indicate effectiveness.,"[""Desfa2023__c_0220""]",2v2
D044,disagreement,Bangchak2024,phase5,GRI 3,3-3,"GHG Emissions & Climate adaptation, resilience, and transition",b,0,pass,standard,Explicitly states refinery operations as a source of GHG emissions and climate risks.,"[""Bangchak2024__c_0153"", ""Bangchak2024__c_0162"", ""Bangchak2024__c_0164"", ""Bangchak2024__c_0166"", ""Bangchak2024__c_0170""]",pass,standard,Report explicitly states involvement in negative impacts via Scope 1/2 emissions and refinery operations.,"[""Bangchak2024__c_0171"", ""Bangchak2024__c_0174"", ""Bangchak2024__c_0172"", ""Bangchak2024__c_0173"", ""Bangchak2024__c_0175""]",pass,standard,Explicitly states involvement in negative impacts through refinery operations and energy use (chunk 0153).,"[""Bangchak2024__c_0153""]",partial,standard,Chunks mention emissions data but lack explicit description of activities/business relationships causing negative impacts.,"[""Bangchak2024__c_0171"", ""Bangchak2024__c_0172"", ""Bangchak2024__c_0169""]",1v3
D045,disagreement,Mubadala2024,phase5,GRI 3,3-3,GHG & Other Air Emissions,f,0,partial,standard,Evidence mentions stakeholder engagement in materiality assessment but lacks explicit linkage to actions taken or their effectiveness for GHG emissions.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0058""]",partial,standard,Evidence mentions stakeholder discussion to prioritize issues (chunk 0057) but lacks explicit linkage to effectiveness evaluation of actions.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0059""]",no_evidence,standard,No evidence explicitly describes stakeholder engagement informing action effectiveness for GHG emissions. Chunks mention stakeholder input in materiality assessment but not effectiveness tracking.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0058""]",partial,standard,Evidence mentions stakeholder engagement in prioritizing issues (Mubadala2024__c_0057) but lacks details on how it informed action effectiveness.,"[""Mubadala2024__c_0057"", ""Mubadala2024__c_0059""]",1v3
D046,disagreement,Mubadala2024,phase5,GRI 3,3-3,Responsible Procurement,e.iv,0,pass,standard,Policy revisions (2024) and piloting low-carbon solutions demonstrate lessons learned being incorporated.,"[""Mubadala2024__c_0132"", ""Mubadala2024__c_0135""]",pass,standard,Revised Corporate Procurement Policy in 2024 reflects lessons learned and integration into operational policies.,"[""Mubadala2024__c_0136""]",pass,standard,Policy revision in 2024 reflects incorporation of lessons into procurement governance.,"[""Mubadala2024__c_0132""]",pass,standard,Revised procurement policy and plans for climate-specific guidelines demonstrate lessons learned incorporation.,"[""Mubadala2024__c_0132"", ""Mubadala2024__c_0136""]",all_agree
D047,disagreement,Bangchak2024,phase5,GRI 3,3-3,"GHG Emissions & Climate adaptation, resilience, and transition",e.iii,0,pass,standard,"Progress toward targets (e.g., 2,215.16 tCO2e reduction, 2024 emission decreases) is explicitly reported.","[""Bangchak2024__c_0162"", ""Bangchak2024__c_0175"", ""Bangchak2024__c_0170"", ""Bangchak2024__c_0164"", ""Bangchak2024__c_0163""]",pass,standard,"Discusses progress (e.g., 2,215 tCO2e reduction from insulation projects, 30% fuel reduction) and metrics like eco-efficiency and Scope 1/2 emissions.","[""Bangchak2024__c_0162"", ""Bangchak2024__c_0175"", ""Bangchak2024__c_0171"", ""Bangchak2024__c_0167"", ""Bangchak2024__c_0174""]",pass,standard,"Progress toward goals (e.g., 2,215.16 tCO2e reduction, 4.84% FOEB target) and eco-efficiency metrics are explicitly reported.","[""Bangchak2024__c_0162"", ""Bangchak2024__c_0171"", ""Bangchak2024__c_0175""]",partial,standard,"Some progress data (e.g., 2,215.16 tCO2e reduction, chunk 0162) is reported but lacks explicit goal comparison.","[""Bangchak2024__c_0162"", ""Bangchak2024__c_0175""]",1v3
D048,disagreement,Bangchak2024,phase5,GRI 3,3-3,Payments to governments,e.i,0,pass,standard,"Processes like tax health checks, risk assessments, and compliance evaluations are explicitly described.","[""Bangchak2024__c_0151""]",pass,standard,"Describes processes like tax health checks, risk assessments, and monitoring tax laws to track effectiveness of actions.","[""Bangchak2024__c_0150"", ""Bangchak2024__c_0151""]",partial,standard,Mentions tax health checks and risk assessments but lacks detailed processes for tracking effectiveness.,"[""Bangchak2024__c_0150"", ""Bangchak2024__c_0151""]",pass,standard,"Processes like tax health checks, risk assessments, and monitoring tax laws are explicitly described.","[""Bangchak2024__c_0150"", ""Bangchak2024__c_0151""]",1v3
D049,disagreement,Mubadala2023,phase5,GRI 3,3-3,Leading Employment Practices,d.ii,0,no_evidence,standard,No explicit description of actions to address actual negative impacts or remediation.,"[""Mubadala2023__c_0081"", ""Mubadala2023__c_0082""]",no_evidence,standard,No explicit description of actions to address actual negative impacts or remediation.,"[""Mubadala2023__c_0081"", ""Mubadala2023__c_0082""]",no_evidence,standard,No description of actions to address actual negative impacts or remediation.,"[""Mubadala2023__c_0081"", ""Mubadala2023__c_0082""]",no_evidence,standard,No description of actions to address actual negative impacts or remediation.,"[""Mubadala2023__c_0081"", ""Mubadala2023__c_0082""]",all_agree
D050,disagreement,OKQ82024,phase5,GRI 3,3-3,Freedom of association and collective bargaining,b,0,no_evidence,standard,No evidence links the organization to negative impacts on freedom of association or collective bargaining. Supplier and ESG mentions are unrelated.,"[""OKQ82024__c_0060"", ""OKQ82024__c_0063"", ""OKQ82024__c_0066"", ""OKQ82024__c_0073"", ""OKQ82024__c_0081""]",no_evidence,standard,No evidence explicitly links the organization to negative impacts related to freedom of association.,[],no_evidence,standard,No evidence links the organization to negative impacts on freedom of association.,[],no_evidence,standard,No evidence links the organization to negative impacts on freedom of association.,[],all_agree
D051,disagreement,Bangchak2024,phase5,GRI 3,3-3,Employment Practices,c,0,pass,standard,"Policies on labor rights, work regulations, and employee development are explicitly described.","[""Bangchak2024__c_0282"", ""Bangchak2024__c_0283"", ""Bangchak2024__c_0286"", ""Bangchak2024__c_0287"", ""Bangchak2024__c_0290""]",pass,standard,"Clear policies described (e.g., Management Development Committee, 100XHappiness strategy, BEST Employer framework).","[""Bangchak2024__c_0282"", ""Bangchak2024__c_0281"", ""Bangchak2024__c_0294"", ""Bangchak2024__c_0283"", ""Bangchak2024__c_0298""]",pass,standard,"Explicit policies described (e.g., Management Development Committee, labor law compliance, diversity initiatives).","[""Bangchak2024__c_0282"", ""Bangchak2024__c_0283"", ""Bangchak2024__c_0286"", ""Bangchak2024__c_0287"", ""Bangchak2024__c_0290""]",pass,standard,"Policies like the Management Development Committee, 100XHappiness strategy, and training programs are described.","[""Bangchak2024__c_0282"", ""Bangchak2024__c_0281"", ""Bangchak2024__c_0293"", ""Bangchak2024__c_0287"", ""Bangchak2024__c_0290""]",all_agree
D052,disagreement,Mubadala2023,phase5,GRI 3,3-3,Contributing to Communities & Societies,d.i,0,pass,standard,"Describes actions to prevent negative impacts (e.g., stakeholder engagement, project assurance, and alignment with UN SDGs).","[""Mubadala2023__c_0091"", ""Mubadala2023__c_0097"", ""Mubadala2023__c_0098"", ""Mubadala2023__c_0100"", ""Mubadala2023__c_0101""]",pass,standard,"Actions like stakeholder engagement, project evaluations, and partnerships are described to prevent/mitigate impacts.","[""Mubadala2023__c_0091"", ""Mubadala2023__c_0097""]",pass,standard,"Actions to prevent/mitigate impacts include stakeholder engagement, project oversight, and post-project evaluations (Mubadala2023__c_0091).","[""Mubadala2023__c_0091""]",partial,standard,"Some actions (e.g., Ecogreen program) mitigate environmental impacts, but no explicit mention of preventing negative impacts.","[""Mubadala2023__c_0094""]",1v3
D053,disagreement,Energean2024,phase5,GRI 3,3-3,Water and marine resources,d.iii,0,pass,standard,"Describes positive impacts of desalination (e.g., environmental preservation, operational efficiency) for water and marine resources.","[""Energean2024__c_0159""]",pass,standard,Describes desalination benefits as positive impacts on sustainability.,"[""Energean2024__c_0159""]",pass,standard,"Describes desalination benefits, including ecosystem preservation and water quality consistency.","[""Energean2024__c_0159""]",pass,standard,"Describes desalination benefits (ecosystem preservation, operational efficiency) as positive impact management.","[""Energean2024__c_0159""]",all_agree
D054,disagreement,Bunduq2023,phase5,GRI 3,3-3,Water and Effluents Management,d.ii,0,no_evidence,standard,No explicit description of actions to address actual negative impacts or remediation efforts.,[],no_evidence,standard,No explicit mention of addressing actual negative impacts or remediation efforts.,[],no_evidence,standard,No explicit description of actions to address actual negative impacts or remediation.,"[""Bunduq2023__c_0056"", ""Bunduq2023__c_0057""]",no_evidence,standard,No explicit description of actions to address actual negative impacts.,[],all_agree
D055,disagreement,OQ2023,phase5,GRI 3,3-3,Cybersecurity and Data Privacy,e.iv,0,no_evidence,standard,No lessons learned or policy updates from cybersecurity initiatives are explicitly described.,"[""OQ2023__c_0082""]",no_evidence,standard,No lessons learned or policy updates from cybersecurity initiatives are explicitly described.,"[""OQ2023__c_0082""]",no_evidence,standard,No lessons learned or policy updates from cybersecurity initiatives are explicitly described.,"[""OQ2023__c_0082""]",no_evidence,standard,No evidence of lessons learned or policy updates from cybersecurity initiatives.,"[""OQ2023__c_0082""]",all_agree
D056,disagreement,Bangchak2025,phase5,GRI 3,3-3,Anti-corruption & Anti-competitive behavior,e.i,0,pass,standard,"Processes include monitoring improvement targets and annual compliance assessments (chunk 0120, 0122).","[""Bangchak2025__c_0120"", ""Bangchak2025__c_0122""]",pass,standard,Processes like complaint management and risk assessments are described for tracking effectiveness.,"[""Bangchak2025__c_0122"", ""Bangchak2025__c_0121""]",partial,standard,"Mentions monitoring targets and reporting to committees, but lacks specificity on anti-corruption effectiveness tracking.","[""Bangchak2025__c_0120"", ""Bangchak2025__c_0122""]",no_evidence,standard,No explicit processes for tracking effectiveness of anti-corruption actions are described.,[],3stat
D057,disagreement,HPCL2023,phase5,GRI 3,3-3,Diversity & Inclusion (GRI OGSS Topic: Local Communities),e.i,0,no_evidence,standard,No explicit processes for tracking effectiveness of actions are described.,[],no_evidence,standard,No evidence describes processes for tracking effectiveness of actions on 'Diversity & Inclusion'.,[],no_evidence,standard,No evidence describes processes used to track effectiveness of actions related to Diversity & Inclusion.,[],no_evidence,standard,No evidence describes processes to track effectiveness of actions related to Diversity & Inclusion.,"[""HPCL2023__c_0306""]",all_agree
D058,disagreement,OKQ82024,phase5,GRI 3,3-3,Water and effluents,d.i,0,pass,standard,"Actions include testing water treatment methods, using probiotics, and promoting car wash facilities to reduce home washing impacts.","[""OKQ82024__c_0072""]",pass,standard,Actions include water treatment development (chunk 0070) and EHS system (chunk 0139).,"[""OKQ82024__c_0070"", ""OKQ82024__c_0139""]",partial,standard,"Mentions testing water treatment methods and informing customers about home washing, but lacks detailed mitigation strategies.","[""OKQ82024__c_0072""]",pass,standard,Mentions actions like 'optimise water use' and 'develop water treatment for car washes' to mitigate potential negative impacts.,"[""OKQ82024__c_0069"", ""OKQ82024__c_0070""]",1v3
D059,disagreement,Bangchak2025,phase5,GRI 3,3-3,Rights of indigenous peoples,e.i,0,partial,standard,General monitoring processes exist but are not explicitly tied to indigenous peoples' rights. Chunk 0350 mentions annual reporting but lacks specificity.,"[""Bangchak2025__c_0350"", ""Bangchak2025__c_0360"", ""Bangchak2025__c_0362"", ""Bangchak2025__c_0352"", ""Bangchak2025__c_0347""]",partial,standard,"General processes (e.g., impact assessments) are mentioned but not explicitly tied to 'Rights of indigenous peoples'.","[""Bangchak2025__c_0347"", ""Bangchak2025__c_0351"", ""Bangchak2025__c_0352"", ""Bangchak2025__c_0349"", ""Bangchak2025__c_0346""]",no_evidence,standard,"General monitoring processes mentioned (e.g., annual reporting) but not tied to 'Rights of indigenous peoples'.","[""Bangchak2025__c_0350""]",pass,standard,Processes for tracking effectiveness include annual human rights assessments and remediation mechanisms.,"[""Bangchak2025__c_0352"", ""Bangchak2025__c_0348"", ""Bangchak2025__c_0362"", ""Bangchak2025__c_0349"", ""Bangchak2025__c_0350""]",3stat
D060,disagreement,HPCL2023,phase5,GRI 3,3-3,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Public Policy)",e.ii,0,no_evidence,standard,"No evidence mentions goals, targets, or indicators for evaluating progress on the topic.",[],no_evidence,standard,"No evidence mentions goals, targets, or indicators for evaluating progress on the material topic.",[],no_evidence,standard,"No evidence of goals, targets, or indicators for evaluating progress on the material topic.","[""HPCL2023__c_0312"", ""HPCL2023__c_0313"", ""HPCL2023__c_0314"", ""HPCL2023__c_0315""]",no_evidence,standard,"No evidence mentions goals, targets, or indicators for evaluating progress on the material topic.","[""HPCL2023__c_0315"", ""HPCL2023__c_0314"", ""HPCL2023__c_0313"", ""HPCL2023__c_0312""]",all_agree
D061,disagreement,HPCL2023,phase5,GRI 3,3-3,Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),d.iii,0,pass,standard,"Actions to manage positive impacts (e.g., rainwater harvesting, green cover) are explicitly described.","[""HPCL2023__c_0213"", ""HPCL2023__c_0214""]",pass,standard,Actions like rainwater harvesting and planting low-water trees are described.,"[""HPCL2023__c_0213"", ""HPCL2023__c_0214""]",pass,standard,Mentions rainwater harvesting and green cover initiatives (HPCL2023__c_0214).,"[""HPCL2023__c_0214""]",pass,standard,Mentions rainwater harvesting and community benefits as positive actions.,"[""HPCL2023__c_0213"", ""HPCL2023__c_0215""]",all_agree
D062,disagreement,Bangchak2025,phase5,GRI 3,3-3,Non-discrimination and equal opportunity,e.iii,0,no_evidence,standard,No progress toward goals or evaluation of effectiveness for non-discrimination is detailed.,"[""Bangchak2025__c_0343"", ""Bangchak2025__c_0344"", ""Bangchak2025__c_0352"", ""Bangchak2025__c_0356"", ""Bangchak2025__c_0360""]",partial,standard,Mentions of 'no complaints' (0352) suggest effectiveness but lack quantitative progress metrics.,"[""Bangchak2025__c_0352"", ""Bangchak2025__c_0360"", ""Bangchak2025__c_0356"", ""Bangchak2025__c_0343"", ""Bangchak2025__c_0346""]",pass,standard,"States no complaints regarding harassment/discrimination, indicating effectiveness.","[""Bangchak2025__c_0352"", ""Bangchak2025__c_0362""]",partial,standard,"Mentions of no complaints (e.g., harassment/discrimination) imply effectiveness but lack detailed progress tracking.","[""Bangchak2025__c_0352"", ""Bangchak2025__c_0360"", ""Bangchak2025__c_0356"", ""Bangchak2025__c_0343"", ""Bangchak2025__c_0359""]",3stat
D063,disagreement,Bunduq2023,phase5,GRI 3,3-3,Energy Management,e.ii,0,pass,standard,References ADNOC/QatarEnergy energy targets and 2024 optimization assessment.,"[""Bunduq2023__c_0041""]",partial,standard,Mentions ADNOC/QatarEnergy targets but lacks specific goals/indicators for energy management.,"[""Bunduq2023__c_0041""]",partial,standard,Chunk 0041 mentions alignment with ADNOC/QatarEnergy targets but does not explicitly list indicators used to evaluate progress.,"[""Bunduq2023__c_0041""]",no_evidence,standard,"No specific goals, targets, or indicators for Energy Management effectiveness tracking.","[""Bunduq2023__c_0041"", ""Bunduq2023__c_0042""]",3stat
D064,disagreement,Mubadala2023,phase5,GRI 3,3-3,Climate Change & Energy Transition,e.ii,0,partial,standard,"References alignment with Net Zero targets and emissions reduction, but no specific goals, targets, or indicators are quantified.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0036""]",pass,standard,References alignment with UAE's Net Zero 2050 target and reducing GHG emissions in line with international standards as goals.,"[""Mubadala2023__c_0033""]",no_evidence,standard,"No evidence of goals, targets, or indicators used to evaluate progress on Climate Change & Energy Transition.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0034"", ""Mubadala2023__c_0035"", ""Mubadala2023__c_0036""]",no_evidence,standard,"No evidence specifies goals, targets, or indicators used to evaluate progress for Climate Change & Energy Transition.","[""Mubadala2023__c_0033"", ""Mubadala2023__c_0034"", ""Mubadala2023__c_0035"", ""Mubadala2023__c_0036""]",3stat
D065,disagreement,OQ2023,phase5,GRI 3,3-3,Employment Practices & Development,e.iii,0,no_evidence,standard,No evidence explicitly describes the effectiveness of actions or progress toward goals for Employment Practices & Development.,[],partial,standard,"Survey results (88% relevance, 95% satisfaction) suggest effectiveness but lack progress metrics against specific goals.","[""OQ2023__c_0162"", ""OQ2023__c_0161""]",no_evidence,standard,No evidence evaluates effectiveness of employment practices actions or progress toward goals.,"[""OQ2023__c_0160"", ""OQ2023__c_0161"", ""OQ2023__c_0162"", ""OQ2023__c_0163"", ""OQ2023__c_0164""]",no_evidence,standard,No evidence evaluates effectiveness of employment actions or progress toward goals.,"[""OQ2023__c_0160"", ""OQ2023__c_0161"", ""OQ2023__c_0162"", ""OQ2023__c_0163"", ""OQ2023__c_0165""]",1v3
D066,disagreement,Bapco2023,phase5,GRI 3,3-3,Environmental Policy & Management,d.i,0,pass,standard,Mentions HSSEMS and impact assessments to prevent/mitigate potential negative impacts.,"[""Bapco2023__c_0033""]",pass,standard,Mentions HSSEMS and impact assessments to prevent/mitigate potential negative impacts.,"[""Bapco2023__c_0033""]",pass,standard,Mentions HSSEMS and impact assessments as preventive/mitigation actions.,"[""Bapco2023__c_0033""]",pass,standard,Mentions HSSEMS and impact assessments as preventive/mitigation actions.,"[""Bapco2023__c_0033""]",all_agree
D067,disagreement,OQ2023,phase5,GRI 3,3-3,"Agility, Innovation, & Digital Transformation",e.iii,0,no_evidence,standard,No evaluation of action effectiveness or progress toward goals for the material topic is provided.,"[""OQ2023__c_0080"", ""OQ2023__c_0081"", ""OQ2023__c_0082""]",no_evidence,standard,No evidence in chunks about the effectiveness of actions or progress toward goals for the material topic.,[],no_evidence,standard,No evidence of effectiveness evaluation or progress for the material topic in the chunks.,"[""OQ2023__c_0080"", ""OQ2023__c_0081"", ""OQ2023__c_0082""]",no_evidence,standard,No evidence of effectiveness evaluation or progress toward goals for the material topic.,"[""OQ2023__c_0080"", ""OQ2023__c_0081"", ""OQ2023__c_0082""]",all_agree
D068,disagreement,HPCL2023,phase5,GRI 3,3-3,Customer Satisfaction (Additional Disclosure),f,0,no_evidence,standard,No explicit mention of stakeholder engagement informing actions or effectiveness for Customer Satisfaction.,"[""HPCL2023__c_0286"", ""HPCL2023__c_0287"", ""HPCL2023__c_0288"", ""HPCL2023__c_0289"", ""HPCL2023__c_0290""]",no_evidence,standard,No verdict produced.,[],no_evidence,standard,No evidence explicitly describes stakeholder engagement informing actions or effectiveness for 'Customer Satisfaction'.,[],no_evidence,standard,No explicit description of stakeholder engagement informing actions or effectiveness tracking.,"[""HPCL2023__c_0288"", ""HPCL2023__c_0291""]",all_agree
D069,disagreement,Bapco2024,phase5,GRI 3,3-3,Cybersecurity & Data Privacy,d.i,0,pass,standard,Mentions DEFEND program and training to prevent/mitigate cyber threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and training to prevent/mitigate cyber threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and cybersecurity awareness training to prevent/mitigate threats.,"[""Bapco2024__c_0100""]",pass,standard,Mentions DEFEND program and cybersecurity awareness training to prevent/mitigate threats.,"[""Bapco2024__c_0100""]",all_agree
D070,disagreement,Bangchak2024,phase5,GRI 3,3-1,__none__,a.i,0,pass,standard,"Process includes stakeholder input, internal/external data, and alignment with GRI standards, covering economic, environmental, and social impacts (including human rights).","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0068"", ""Bangchak2024__c_0069""]",pass,standard,"Chunks describe identifying impacts on economy, environment, people, and human rights using internal/external data, stakeholder input, and alignment with ERM and GRI standards.","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0068"", ""Bangchak2024__c_0069""]",partial,standard,"Evidence describes impact identification via stakeholder input, ERM, and global standards (chunks 0067-0069), but lacks explicit detail on business relationships.","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0068"", ""Bangchak2024__c_0069""]",partial,standard,"Chunks mention stakeholder input, ERM, and GRI Standards but lack explicit details on identifying actual/potential impacts across all three dimensions (economic, environmental, social).","[""Bangchak2024__c_0067"", ""Bangchak2024__c_0068"", ""Bangchak2024__c_0069""]",2v2
D071,disagreement,OQ2023,phase5,GRI 3,3-3,Occupational Health and Safety,e.iii,0,partial,standard,"Progress (e.g., Zero Fatality) is reported, but without explicit reference to predefined goals/targets for evaluation.","[""OQ2023__c_0166"", ""OQ2023__c_0175""]",pass,standard,Zero fatalities (chunk 0166) and incident reporting (chunk 0175) demonstrate progress toward goals.,"[""OQ2023__c_0166"", ""OQ2023__c_0175""]",pass,standard,States zero fatalities and safe manhours as progress toward goals.,"[""OQ2023__c_0166""]",partial,standard,Reports 'zero fatalities' but does not explicitly link this to progress toward defined goals/targets.,"[""OQ2023__c_0166""]",2v2
D072,disagreement,Bangchak2025,phase5,GRI 3,3-3,Land and Resouce Rights,b,0,partial,standard,"Mentions land acquisition/management (chunk 357) and potential impacts from new service stations (chunk 360), but no explicit confirmation of involvement in negative impacts.","[""Bangchak2025__c_0357"", ""Bangchak2025__c_0360"", ""Bangchak2025__c_0362"", ""Bangchak2025__c_0347"", ""Bangchak2025__c_0349""]",no_evidence,standard,"No explicit mention of involvement in negative impacts related to 'Land and Resource Rights'. General human rights compliance is noted, but not the specific topic.","[""Bangchak2025__c_0360"", ""Bangchak2025__c_0343"", ""Bangchak2025__c_0346"", ""Bangchak2025__c_0352"", ""Bangchak2025__c_0354""]",no_evidence,standard,"No explicit statement on involvement in negative impacts related to 'Land and Resource Rights'. General absence of complaints is noted, but not tied to this topic.","[""Bangchak2025__c_0360"", ""Bangchak2025__c_0362"", ""Bangchak2025__c_0343"", ""Bangchak2025__c_0344"", ""Bangchak2025__c_0352""]",pass,standard,Report states no complaints related to land acquisition conflicts or community impacts.,"[""Bangchak2025__c_0360""]",3stat
D073,disagreement,Bapco2024,phase5,GRI 3,3-3,Emissions & Climate Action,e.iii,1,pass,standard,Quantifies 2024 emission reductions (660 Gg) and progress toward targets.,"[""Bapco2024__c_0037""]",pass,standard,Quantifies 2024 emission reductions (660 Gg) and progress toward targets.,"[""Bapco2024__c_0037""]",partial,standard,Reports 660 Gg CO2e reduction but lacks broader effectiveness evaluation against goals.,"[""Bapco2024__c_0037""]",partial,standard,Reports 660 Gg CO2e reduction but lacks broader effectiveness evaluation against goals.,"[""Bapco2024__c_0037""]",2v2
D074,disagreement,OKQ82023,phase5,GRI 3,3-3,Biodiversity,e.i,0,partial,standard,"References testing methods (e.g., passive flora growth) but does not explicitly describe formal processes for tracking effectiveness.","[""OKQ82023__c_0083"", ""OKQ82023__c_0084""]",no_evidence,standard,No explicit processes for tracking biodiversity action effectiveness are described.,[],partial,standard,"Mentions testing methods (e.g., passive flora growth) but lacks detailed processes for tracking effectiveness.","[""OKQ82023__c_0083"", ""OKQ82023__c_0084""]",no_evidence,standard,No explicit description of processes used to track effectiveness of biodiversity-related actions.,[],2v2
D075,disagreement,Energean2024,phase5,GRI 3,3-3,Climate Change,f,0,partial,standard,"Evidence mentions stakeholder engagement (e.g., industry associations, government consultations) but lacks explicit links to how these informed actions or evaluated effectiveness.","[""Energean2024__c_0113"", ""Energean2024__c_0112""]",partial,standard,"Evidence mentions stakeholder engagement (e.g., industry associations, government consultations) but lacks explicit links to how this informed action effectiveness.","[""Energean2024__c_0113"", ""Energean2024__c_0144""]",no_evidence,standard,No explicit description of stakeholder engagement informing actions or effectiveness. Evidence mentions engagement channels but not outcomes.,"[""Energean2024__c_0113""]",no_evidence,standard,No explicit mention of stakeholder engagement informing actions or effectiveness evaluation for Climate Change.,[],2v2
D076,disagreement,OKQ82024,phase5,GRI 3,3-3,Employment,b,0,no_evidence,standard,No explicit mention of involvement in negative employment-related impacts through activities or business relationships.,[],partial,standard,"References ethics council and supplier compliance (chunk 0125, 0122) but does not explicitly confirm involvement in negative impacts through activities or relationships.","[""OKQ82024__c_0125"", ""OKQ82024__c_0122"", ""OKQ82024__c_0138"", ""OKQ82024__c_0134"", ""OKQ82024__c_0133""]",no_evidence,standard,No explicit statement on involvement with negative impacts through activities/business relationships related to Employment.,[],no_evidence,standard,No explicit mention of involvement in negative employment-related impacts.,[],1v3
D077,disagreement,Desfa2023,phase5,GRI 3,3-3,Employment practices,e.iv,0,partial,standard,"Mentions inefficiencies in training evaluation and plans to repeat surveys, indicating some lessons learned.","[""Desfa2023__c_0139"", ""Desfa2023__c_0144"", ""Desfa2023__c_0153"", ""Desfa2023__c_0154"", ""Desfa2023__c_0155""]",partial,standard,Mentions inefficiencies in training evaluation but does not explicitly describe lessons learned or policy updates.,"[""Desfa2023__c_0139"", ""Desfa2023__c_0146"", ""Desfa2023__c_0153"", ""Desfa2023__c_0142"", ""Desfa2023__c_0140""]",pass,standard,"Inefficiencies in training evaluation and planned survey repetition show lessons learned (chunk 0139, 0144).","[""Desfa2023__c_0139"", ""Desfa2023__c_0144""]",no_evidence,standard,No explicit mention of lessons learned being incorporated into operational policies or procedures.,"[""Desfa2023__c_0146"", ""Desfa2023__c_0144""]",3stat
D078,disagreement,HPCL2023,phase5,GRI 3,3-3,Supplier Environmental Assessment (GRI: Supplier Environmental Assessment 2016),d.i,0,pass,standard,Vendor development programs and procurement transparency initiatives are described as preventive measures.,"[""HPCL2023__c_0056""]",partial,standard,Mentions supplier compliance with environmental standards but lacks specifics on preventing/mitigating potential negative impacts.,"[""HPCL2023__c_0057""]",no_evidence,standard,No evidence of actions to prevent/mitigate potential negative environmental impacts from suppliers.,[],no_evidence,standard,No actions to prevent/mitigate potential negative impacts related to Supplier Environmental Assessment are described.,[],3stat
D079,disagreement,Bunduq2023,phase5,GRI 3,3-3,Talent Management and Development,d.i,0,pass,standard,"Actions to prevent/mitigate negative impacts include training, skill gap analysis, and development plans.","[""Bunduq2023__c_0088"", ""Bunduq2023__c_0091""]",pass,standard,"Actions to prevent/mitigate impacts include training, skill gap analysis, and development plans.","[""Bunduq2023__c_0088"", ""Bunduq2023__c_0091"", ""Bunduq2023__c_0090""]",no_evidence,standard,No evidence describes actions to prevent/mitigate potential negative impacts related to the topic.,[],pass,standard,Actions to prevent skill gaps and improve workforce competence are described.,"[""Bunduq2023__c_0088"", ""Bunduq2023__c_0091""]",1v3
